Year,Driver Name,Driver Number,Race Location,Date,Session Name,Session Type,Fastest Lap Time
2023,M VERSTAPPEN,1,"Sakhir, Bahrain",2023-02-23,Practice 1,Practice,1:32.837
2023,G ZHOU,24,"Sakhir, Bahrain",2023-02-24,Practice 2,Practice,1:31.610
2023,S PEREZ,11,"Sakhir, Bahrain",2023-02-25,Practice 3,Practice,1:30.305
2023,S PEREZ,11,"Sakhir, Bahrain",2023-03-03,Practice 1,Practice,1:32.758
2023,M VERSTAPPEN,1,"Sakhir, Bahrain",2023-03-03,Practice 2,Practice,1:31.076
2023,F ALONSO,14,"Sakhir, Bahrain",2023-03-04,Practice 3,Practice,1:32.340
2023,M VERSTAPPEN,1,"Sakhir, Bahrain",2023-03-04,Qualifying,Qualifying,1:29.897
2023,G ZHOU,24,"Sakhir, Bahrain",2023-03-05,Race,Race,1:33.996
2023,M VERSTAPPEN,1,"Jeddah, Saudi Arabia",2023-03-17,Practice 1,Practice,1:29.617
2023,M VERSTAPPEN,1,"Jeddah, Saudi Arabia",2023-03-17,Practice 2,Practice,1:29.603
2023,M VERSTAPPEN,1,"Jeddah, Saudi Arabia",2023-03-18,Practice 3,Practice,1:28.485
2023,S PEREZ,11,"Jeddah, Saudi Arabia",2023-03-18,Qualifying,Qualifying,1:28.265
2023,M VERSTAPPEN,1,"Jeddah, Saudi Arabia",2023-03-19,Race,Race,1:31.906
2023,M VERSTAPPEN,1,"Melbourne, Australia",2023-03-31,Practice 1,Practice,1:18.790
2023,F ALONSO,14,"Melbourne, Australia",2023-03-31,Practice 2,Practice,1:18.887
2023,M VERSTAPPEN,1,"Melbourne, Australia",2023-04-01,Practice 3,Practice,1:17.565
2023,M VERSTAPPEN,1,"Melbourne, Australia",2023-04-01,Qualifying,Qualifying,1:17.219
2023,S PEREZ,11,"Melbourne, Australia",2023-04-02,Race,Race,1:20.235
2023,M VERSTAPPEN,1,"Baku, Azerbaijan",2023-04-28,Practice 1,Practice,1:42.315
2023,M VERSTAPPEN,1,"Baku, Azerbaijan",2023-04-28,Qualifying,Qualifying,1:40.445
2023,C LECLERC,16,"Baku, Azerbaijan",2023-04-29,Sprint Shootout,Qualifying,1:41.697
2023,C LECLERC,16,"Baku, Azerbaijan",2023-04-29,Sprint,Race,1:43.646
2023,G RUSSELL,63,"Baku, Azerbaijan",2023-04-30,Race,Race,1:43.370
2023,G RUSSELL,63,"Miami, United States",2023-05-05,Practice 1,Practice,1:30.125
2023,M VERSTAPPEN,1,"Miami, United States",2023-05-05,Practice 2,Practice,1:27.930
2023,M VERSTAPPEN,1,"Miami, United States",2023-05-06,Practice 3,Practice,1:27.535
2023,S PEREZ,11,"Miami, United States",2023-05-06,Qualifying,Qualifying,1:26.841
2023,M VERSTAPPEN,1,"Miami, United States",2023-05-07,Race,Race,1:29.708
2023,C SAINZ,55,"Monaco, Monaco",2023-05-26,Practice 1,Practice,1:13.372
2023,M VERSTAPPEN,1,"Monaco, Monaco",2023-05-26,Practice 2,Practice,1:12.462
2023,M VERSTAPPEN,1,"Monaco, Monaco",2023-05-27,Practice 3,Practice,1:12.776
2023,F ALONSO,14,"Monaco, Monaco",2023-05-27,Qualifying,Qualifying,1:11.706
2023,L HAMILTON,44,"Monaco, Monaco",2023-05-28,Race,Race,1:15.650
2023,M VERSTAPPEN,1,"Barcelona, Spain",2023-06-02,Practice 1,Practice,1:14.606
2023,M VERSTAPPEN,1,"Barcelona, Spain",2023-06-02,Practice 2,Practice,1:13.907
2023,M VERSTAPPEN,1,"Barcelona, Spain",2023-06-03,Practice 3,Practice,1:13.664
2023,M VERSTAPPEN,1,"Barcelona, Spain",2023-06-03,Qualifying,Qualifying,1:12.272
2023,M VERSTAPPEN,1,"Barcelona, Spain",2023-06-04,Race,Race,1:16.330
2023,V BOTTAS,77,"Montréal, Canada",2023-06-16,Practice 1,Practice,1:18.728
2023,L HAMILTON,44,"Montréal, Canada",2023-06-16,Practice 2,Practice,1:13.718
2023,M VERSTAPPEN,1,"Montréal, Canada",2023-06-17,Practice 3,Practice,1:23.106
2023,A ALBON,23,"Montréal, Canada",2023-06-17,Qualifying,Qualifying,1:18.725
2023,S PEREZ,11,"Montréal, Canada",2023-06-18,Race,Race,1:14.481
2023,M VERSTAPPEN,1,"Spielberg, Austria",2023-06-30,Practice 1,Practice,1:5.742
2023,M VERSTAPPEN,1,"Spielberg, Austria",2023-06-30,Qualifying,Qualifying,1:4.503
2023,N/A,N/A,"Spielberg, Austria",2023-07-01,Sprint Shootout,Qualifying,N/A
2023,N HULKENBERG,27,"Spielberg, Austria",2023-07-01,Sprint,Race,1:10.180
2023,M VERSTAPPEN,1,"Spielberg, Austria",2023-07-02,Race,Race,1:7.012
2023,M VERSTAPPEN,1,"Silverstone, Great Britain",2023-07-07,Practice 1,Practice,1:28.600
2023,M VERSTAPPEN,1,"Silverstone, Great Britain",2023-07-07,Practice 2,Practice,1:28.078
2023,C LECLERC,16,"Silverstone, Great Britain",2023-07-08,Practice 3,Practice,1:27.419
2023,M VERSTAPPEN,1,"Silverstone, Great Britain",2023-07-08,Qualifying,Qualifying,1:27.084
2023,M VERSTAPPEN,1,"Silverstone, Great Britain",2023-07-09,Race,Race,1:30.275
2023,O PIASTRI,81,"Budapest, Hungary",2023-07-21,Practice 1,Practice,1:39.154
2023,C LECLERC,16,"Budapest, Hungary",2023-07-21,Practice 2,Practice,1:17.686
2023,L HAMILTON,44,"Budapest, Hungary",2023-07-22,Practice 3,Practice,1:17.811
2023,M VERSTAPPEN,1,"Budapest, Hungary",2023-07-22,Qualifying,Qualifying,1:16.612
2023,M VERSTAPPEN,1,"Budapest, Hungary",2023-07-23,Race,Race,1:20.504
2023,C SAINZ,55,"Spa-Francorchamps, Belgium",2023-07-28,Practice 1,Practice,2:3.207
2023,C LECLERC,16,"Spa-Francorchamps, Belgium",2023-07-28,Qualifying,Qualifying,1:47.931
