Year,Driver Name,Driver Number,Race Location,Date,Session Name,Session Type,Fastest Lap Time
2023,Max Verstappen,1,"Sakhir, Bahrain",2023-02-23,Practice 1,Practice,1:32.837
2023,Max Verstappen,1,"Sakhir, Bahrain",2023-02-24,Practice 2,Practice,1:31.650
2023,Max Verstappen,1,"Sakhir, Bahrain",2023-02-25,Practice 3,Practice,N/A
2023,Max Verstappen,1,"Sakhir, Bahrain",2023-03-03,Practice 1,Practice,1:33.375
2023,Max Verstappen,1,"Sakhir, Bahrain",2023-03-03,Practice 2,Practice,1:31.076
2023,Max Verstappen,1,"Sakhir, Bahrain",2023-03-04,Practice 3,Practice,1:32.345
2023,Max Verstappen,1,"Sakhir, Bahrain",2023-03-04,Qualifying,Qualifying,1:29.708
2023,Max Verstappen,1,"Sakhir, Bahrain",2023-03-05,Race,Race,1:36.236
2023,Max Verstappen,1,"Jeddah, Saudi Arabia",2023-03-17,Practice 1,Practice,1:29.617
2023,Max Verstappen,1,"Jeddah, Saudi Arabia",2023-03-17,Practice 2,Practice,1:29.603
2023,Max Verstappen,1,"Jeddah, Saudi Arabia",2023-03-18,Practice 3,Practice,1:28.485
2023,Max Verstappen,1,"Jeddah, Saudi Arabia",2023-03-18,Qualifying,Qualifying,1:28.761
2023,Max Verstappen,1,"Jeddah, Saudi Arabia",2023-03-19,Race,Race,1:31.906
2023,Max Verstappen,1,"Melbourne, Australia",2023-03-31,Practice 1,Practice,1:18.790
2023,Max Verstappen,1,"Melbourne, Australia",2023-03-31,Practice 2,Practice,1:19.502
2023,Max Verstappen,1,"Melbourne, Australia",2023-04-01,Practice 3,Practice,1:17.565
2023,Max Verstappen,1,"Melbourne, Australia",2023-04-01,Qualifying,Qualifying,1:16.732
2023,Max Verstappen,1,"Melbourne, Australia",2023-04-02,Race,Race,1:20.342
2023,Max Verstappen,1,"Baku, Azerbaijan",2023-04-28,Practice 1,Practice,1:42.315
2023,Max Verstappen,1,"Baku, Azerbaijan",2023-04-28,Qualifying,Qualifying,1:40.391
2023,Max Verstappen,1,"Baku, Azerbaijan",2023-04-29,Sprint Shootout,Qualifying,1:41.987
2023,Max Verstappen,1,"Baku, Azerbaijan",2023-04-29,Sprint,Race,1:43.723
2023,Max Verstappen,1,"Baku, Azerbaijan",2023-04-30,Race,Race,1:44.232
2023,Max Verstappen,1,"Miami, United States",2023-05-05,Practice 1,Practice,1:30.549
2023,Max Verstappen,1,"Miami, United States",2023-05-05,Practice 2,Practice,1:27.930
2023,Max Verstappen,1,"Miami, United States",2023-05-06,Practice 3,Practice,1:27.535
2023,Max Verstappen,1,"Miami, United States",2023-05-06,Qualifying,Qualifying,1:26.814
2023,Max Verstappen,1,"Miami, United States",2023-05-07,Race,Race,1:29.708
2023,Max Verstappen,1,"Monaco, Monaco",2023-05-26,Practice 1,Practice,1:14.244
2023,Max Verstappen,1,"Monaco, Monaco",2023-05-26,Practice 2,Practice,1:12.462
2023,Max Verstappen,1,"Monaco, Monaco",2023-05-27,Practice 3,Practice,1:12.776
2023,Max Verstappen,1,"Monaco, Monaco",2023-05-27,Qualifying,Qualifying,1:11.365
2023,Max Verstappen,1,"Monaco, Monaco",2023-05-28,Race,Race,1:16.604
2023,Max Verstappen,1,"Barcelona, Spain",2023-06-02,Practice 1,Practice,1:14.606
2023,Max Verstappen,1,"Barcelona, Spain",2023-06-02,Practice 2,Practice,1:13.907
2023,Max Verstappen,1,"Barcelona, Spain",2023-06-03,Practice 3,Practice,1:13.664
2023,Max Verstappen,1,"Barcelona, Spain",2023-06-03,Qualifying,Qualifying,1:12.272
2023,Max Verstappen,1,"Barcelona, Spain",2023-06-04,Race,Race,1:16.330
2023,Max Verstappen,1,"Montréal, Canada",2023-06-16,Practice 1,Practice,1:20.231
2023,Max Verstappen,1,"Montréal, Canada",2023-06-16,Practice 2,Practice,1:14.142
2023,Max Verstappen,1,"Montréal, Canada",2023-06-17,Practice 3,Practice,1:23.106
2023,Max Verstappen,1,"Montréal, Canada",2023-06-17,Qualifying,Qualifying,1:19.092
2023,Max Verstappen,1,"Montréal, Canada",2023-06-18,Race,Race,1:15.594
2023,Max Verstappen,1,"Spielberg, Austria",2023-06-30,Qualifying,Qualifying,1:4.391
2023,Max Verstappen,1,"Spielberg, Austria",2023-07-01,Sprint Shootout,Qualifying,1:4.440
2023,Max Verstappen,1,"Spielberg, Austria",2023-07-01,Sprint,Race,1:14.292
2023,Max Verstappen,1,"Spielberg, Austria",2023-07-02,Race,Race,1:7.012
2023,Max Verstappen,1,"Silverstone, Great Britain",2023-07-07,Practice 1,Practice,1:28.600
2023,Max Verstappen,1,"Silverstone, Great Britain",2023-07-07,Practice 2,Practice,1:28.078
2023,Max Verstappen,1,"Silverstone, Great Britain",2023-07-08,Practice 3,Practice,1:28.266
2023,Max Verstappen,1,"Silverstone, Great Britain",2023-07-08,Qualifying,Qualifying,1:26.720
2023,Max Verstappen,1,"Silverstone, Great Britain",2023-07-09,Race,Race,1:30.275
2023,Max Verstappen,1,"Budapest, Hungary",2023-07-21,Practice 1,Practice,10:30.621
2023,Max Verstappen,1,"Budapest, Hungary",2023-07-21,Practice 2,Practice,1:18.279
2023,Max Verstappen,1,"Budapest, Hungary",2023-07-22,Practice 3,Practice,1:18.061
2023,Max Verstappen,1,"Budapest, Hungary",2023-07-22,Qualifying,Qualifying,1:16.612
2023,Max Verstappen,1,"Budapest, Hungary",2023-07-23,Race,Race,1:20.504
2023,Max Verstappen,1,"Spa-Francorchamps, Belgium",2023-07-28,Practice 1,Practice,27:11.113
2023,Max Verstappen,1,"Spa-Francorchamps, Belgium",2023-07-28,Qualifying,Qualifying,1:46.168
2023,Max Verstappen,1,"Spa-Francorchamps, Belgium",2023-07-29,Sprint Shootout,Qualifying,1:49.056
2023,Max Verstappen,1,"Spa-Francorchamps, Belgium",2023-07-29,Sprint,Race,1:58.943
2023,Max Verstappen,1,"Spa-Francorchamps, Belgium",2023-07-30,Race,Race,1:48.922
2023,Max Verstappen,1,"Zandvoort, Netherlands",2023-08-25,Practice 1,Practice,1:11.852
2023,Max Verstappen,1,"Zandvoort, Netherlands",2023-08-25,Practice 2,Practice,1:11.353
2023,Max Verstappen,1,"Zandvoort, Netherlands",2023-08-26,Practice 3,Practice,1:21.631
2023,Max Verstappen,1,"Zandvoort, Netherlands",2023-08-26,Qualifying,Qualifying,1:10.567
2023,Max Verstappen,1,"Zandvoort, Netherlands",2023-08-27,Race,Race,1:13.889
2023,Max Verstappen,1,"Monza, Italy",2023-09-01,Practice 1,Practice,1:22.657
2023,Max Verstappen,1,"Monza, Italy",2023-09-01,Practice 2,Practice,1:21.631
2023,Max Verstappen,1,"Monza, Italy",2023-09-02,Practice 3,Practice,1:20.998
2023,Max Verstappen,1,"Monza, Italy",2023-09-02,Qualifying,Qualifying,1:20.307
2023,Max Verstappen,1,"Monza, Italy",2023-09-03,Race,Race,1:25.240
2023,Max Verstappen,1,"Marina Bay, Singapore",2023-09-15,Practice 1,Practice,1:33.476
2023,Max Verstappen,1,"Marina Bay, Singapore",2023-09-15,Practice 2,Practice,1:32.852
2023,Max Verstappen,1,"Marina Bay, Singapore",2023-09-16,Practice 3,Practice,1:32.378
2023,Max Verstappen,1,"Marina Bay, Singapore",2023-09-16,Qualifying,Qualifying,1:32.173
2023,Max Verstappen,1,"Marina Bay, Singapore",2023-09-17,Race,Race,1:36.575
2023,Max Verstappen,1,"Suzuka, Japan",2023-09-22,Practice 1,Practice,1:31.647
2023,Max Verstappen,1,"Suzuka, Japan",2023-09-22,Practice 2,Practice,1:30.688
2023,Max Verstappen,1,"Suzuka, Japan",2023-09-23,Practice 3,Practice,1:30.267
2023,Max Verstappen,1,"Suzuka, Japan",2023-09-23,Qualifying,Qualifying,1:28.877
2023,Max Verstappen,1,"Suzuka, Japan",2023-09-24,Race,Race,1:34.183
2023,Max Verstappen,1,"Lusail, Qatar",2023-10-06,Practice 1,Practice,1:25.007
2023,Max Verstappen,1,"Lusail, Qatar",2023-10-06,Qualifying,Qualifying,1:23.778
2023,Max Verstappen,1,"Lusail, Qatar",2023-10-07,Sprint Shootout,Qualifying,1:24.543
2023,Max Verstappen,1,"Lusail, Qatar",2023-10-07,Sprint,Race,1:25.604
2023,Max Verstappen,1,"Lusail, Qatar",2023-10-08,Race,Race,1:24.319
2023,Max Verstappen,1,"Austin, United States",2023-10-20,Practice 1,Practice,1:35.912
2023,Max Verstappen,1,"Austin, United States",2023-10-20,Qualifying,Qualifying,1:34.718
2023,Max Verstappen,1,"Austin, United States",2023-10-21,Sprint Shootout,Qualifying,1:34.538
2023,Max Verstappen,1,"Austin, United States",2023-10-21,Sprint,Race,1:39.060
2023,Max Verstappen,1,"Austin, United States",2023-10-22,Race,Race,1:40.028
2023,Max Verstappen,1,"Mexico City, Mexico",2023-10-27,Practice 1,Practice,1:19.718
2023,Max Verstappen,1,"Mexico City, Mexico",2023-10-27,Practice 2,Practice,1:18.686
2023,Max Verstappen,1,"Mexico City, Mexico",2023-10-28,Practice 3,Practice,1:17.887
2023,Max Verstappen,1,"Mexico City, Mexico",2023-10-28,Qualifying,Qualifying,1:17.263
2023,Max Verstappen,1,"Mexico City, Mexico",2023-10-29,Race,Race,1:21.644
2023,Max Verstappen,1,"São Paulo, Brazil",2023-11-03,Practice 1,Practice,1:12.793
2023,Max Verstappen,1,"São Paulo, Brazil",2023-11-03,Qualifying,Qualifying,1:10.162
2023,Max Verstappen,1,"São Paulo, Brazil",2023-11-04,Sprint Shootout,Qualifying,1:10.683
2023,Max Verstappen,1,"São Paulo, Brazil",2023-11-04,Sprint,Race,1:14.540
2023,Max Verstappen,1,"São Paulo, Brazil",2023-11-05,Race,Race,1:13.422
2023,Max Verstappen,1,"Las Vegas, United States",2023-11-17,Practice 1,Practice,1:44.397
2023,Max Verstappen,1,"Las Vegas, United States",2023-11-17,Practice 2,Practice,1:36.183
2023,Max Verstappen,1,"Las Vegas, United States",2023-11-18,Practice 3,Practice,1:34.653
2023,Max Verstappen,1,"Las Vegas, United States",2023-11-18,Qualifying,Qualifying,1:33.104
2023,Max Verstappen,1,"Las Vegas, United States",2023-11-19,Race,Race,1:35.614
2023,Max Verstappen,1,"Yas Island, United Arab Emirates",2023-11-24,Practice 1,Practice,N/A
2023,Max Verstappen,1,"Yas Island, United Arab Emirates",2023-11-24,Practice 2,Practice,1:24.982
2023,Max Verstappen,1,"Yas Island, United Arab Emirates",2023-11-25,Practice 3,Practice,1:25.153
2023,Max Verstappen,1,"Yas Island, United Arab Emirates",2023-11-25,Qualifying,Qualifying,1:23.445
2023,Max Verstappen,1,"Yas Island, United Arab Emirates",2023-11-26,Race,Race,1:26.993
2024,Max Verstappen,1,"Sakhir, Bahrain",2024-02-29,Practice 1,Practice,1:33.238
2024,Max Verstappen,1,"Sakhir, Bahrain",2024-02-29,Practice 2,Practice,1:30.851
2024,Max Verstappen,1,"Sakhir, Bahrain",2024-03-01,Practice 3,Practice,1:31.062
2024,Max Verstappen,1,"Sakhir, Bahrain",2024-03-01,Qualifying,Qualifying,1:29.179
2024,Max Verstappen,1,"Sakhir, Bahrain",2024-03-02,Race,Race,1:32.608
2024,Max Verstappen,1,"Jeddah, Saudi Arabia",2024-03-07,Practice 1,Practice,1:29.659
2024,Max Verstappen,1,"Jeddah, Saudi Arabia",2024-03-07,Practice 2,Practice,1:29.158
2024,Max Verstappen,1,"Jeddah, Saudi Arabia",2024-03-08,Practice 3,Practice,1:28.412
2024,Max Verstappen,1,"Jeddah, Saudi Arabia",2024-03-08,Qualifying,Qualifying,1:27.472
2024,Max Verstappen,1,"Jeddah, Saudi Arabia",2024-03-09,Race,Race,N/A
2024,Max Verstappen,1,"Melbourne, Australia",2024-03-22,Practice 1,Practice,N/A
2024,Max Verstappen,1,"Melbourne, Australia",2024-03-22,Practice 2,Practice,1:17.658
2024,Max Verstappen,1,"Melbourne, Australia",2024-03-23,Practice 3,Practice,1:16.734
2024,Max Verstappen,1,"Melbourne, Australia",2024-03-23,Qualifying,Qualifying,1:15.915
2024,Max Verstappen,1,"Melbourne, Australia",2024-03-24,Race,Race,1:23.115
2024,Max Verstappen,1,"Suzuka, Japan",2024-04-05,Practice 1,Practice,1:30.056
2024,Max Verstappen,1,"Suzuka, Japan",2024-04-05,Practice 2,Practice,N/A
2024,Max Verstappen,1,"Suzuka, Japan",2024-04-06,Practice 3,Practice,1:29.563
